0.003 0.006 0.026 0.042 0.059 0.058 0.071 0.103 0.111 0.15 0.147 0.156 0.168 0.192 0.24 0.268 0.291 0.303 0.332 0.341 0.308 0.285 0.261 0.227 0.048 0.257 0.01 0.011 0.07 0.09
0.001 0.008 0.025 0.033 0.047 0.047 0.082 0.112 0.07 0.14 0.093 0.14 0.145 0.196 0.225 0.255 0.269 0.294 0.299 0.316 0.291 0.28 0.28 0.258 0.174 0.176 0.039 0.074 0.049 0.035
0.001 0.001 0.025 0.038 0.052 0.064 0.077 0.078 0.126 0.137 0.122 0.153 0.173 0.179 0.216 0.232 0.261 0.265 0.302 0.307 0.322 0.317 0.271 0.07 0.239 0.104 0.051 0.047 0.064 0.133
0.001 0.011 0.023 0.039 0.037 0.078 0.051 0.108 0.092 0.045 0.114 0.094 0.097 0.172 0.203 0.23 0.249 0.268 0.282 0.305 0.293 0.28 0.294 0.211 0.134 0.156 0.025 0.176 0.146 0.071
0.002 0.01 0.022 0.037 0.038 0.063 0.069 0.065 0.104 0.107 0.144 0.115 0.159 0.121 0.205 0.216 0.241 0.258 0.275 0.31 0.317 0.29 0.242 0.215 0.234 0.008 0.146 0.028 0.037 0.061
0.287 0.001 0.023 0.037 0.009 0.051 0.028 0.083 0.076 0.11 0.108 0.139 0.05 0.161 0.177 0.215 0.229 0.242 0.264 0.276 0.292 0.294 0.301 0.244 0.075 0.117 0.011 0.023 0.024 0.032
0.001 0.009 0.001 0.033 0.044 0.061 0.074 0.082 0.055 0.094 0.128 0.088 0.062 0.112 0.18 0.192 0.215 0.235 0.253 0.267 0.282 0.28 0.276 0.239 0.139 0.244 0.128 0.162 0.023 0.039
0.001 0.01 0.019 0.033 0.04 0.048 0.041 0.055 0.082 0.095 0.115 0.132 0.129 0.107 0.155 0.176 0.2 0.228 0.241 0.252 0.274 0.278 0.287 0.275 0.232 0.249 0.075 0.228 0.036 0.021
0.001 0.009 0.021 0.03 0.049 0.057 0.07 0.045 0.074 0.086 0.114 0.088 0.112 0.16 0.085 0.164 0.195 0.218 0.229 0.244 0.266 0.272 0.285 0.272 0.209 0.192 0.216 0.139 0.079 0.056
0.001 0.003 0.019 0.025 0.041 0.047 0.02 0.045 0.079 0.079 0.101 0.099 0.143 0.135 0.145 0.159 0.176 0.21 0.223 0.238 0.249 0.244 0.272 0.233 0.249 0.044 0.205 0.098 0.025 0.011
0.002 0.005 0.02 0.027 0.043 0.062 0.052 0.05 0.042 0.074 0.09 0.073 0.128 0.156 0.169 0.185 0.172 0.196 0.215 0.215 0.236 0.253 0.269 0.271 0.251 0.216 0.178 0.009 0.093 0.116
