0.022 0.031 0.042 0.051 0.061 0.072 0.083 0.088 0.107 0.114 0.134 0.152 0.173 0.188 0.231 0.26 0.256 0.23 0.14 0.112 0.186 0.003 0.022 0.01 0.019 0.002
0.022 0.032 0.04 0.05 0.062 0.07 0.072 0.093 0.101 0.115 0.127 0.149 0.165 0.185 0.223 0.262 0.25 0.253 0.183 0.093 0.218 0.014 0.039 0.031 0.067 0
0.023 0.031 0.041 0.048 0.057 0.066 0.081 0.091 0.105 0.113 0.121 0.142 0.166 0.191 0.213 0.258 0.28 0.257 0.216 0.141 0.031 0.028 0.002 0.129 0.012 0.063
0.022 0.03 0.04 0.048 0.06 0.067 0.08 0.089 0.098 0.111 0.125 0.143 0.156 0.177 0.217 0.227 0.248 0.252 0.241 0.008 0.198 0.009 0.169 0.003 0.023 0.003
0.022 0.03 0.037 0.043 0.058 0.069 0.078 0.087 0.098 0.111 0.117 0.14 0.162 0.18 0.196 0.216 0.244 0.211 0.198 0.144 0.172 0.001 0.019 0.011 0.007 0.026
0.022 0.03 0.037 0.048 0.056 0.066 0.077 0.082 0.093 0.109 0.109 0.136 0.153 0.173 0.195 0.248 0.223 0.243 0.171 0.042 0.208 0.001 0.017 0.04 0.008 0.021
0.02 0.03 0.038 0.046 0.057 0.061 0.075 0.087 0.097 0.104 0.116 0.13 0.148 0.168 0.187 0.224 0.246 0.254 0.235 0.225 0.013 0.21 0.025 0.035 0.024 0.163
0.021 0.029 0.036 0.047 0.053 0.064 0.075 0.085 0.094 0.105 0.113 0.126 0.146 0.165 0.185 0.207 0.235 0.225 0.243 0.22 0.203 0.115 0.136 0.005 0.077 0.161
0.018 0.029 0.037 0.045 0.055 0.064 0.074 0.084 0.091 0.103 0.113 0.122 0.141 0.159 0.179 0.209 0.233 0.259 0.244 0.226 0.123 0.031 0.158 0.044 0.1 0.047
0.02 0.029 0.031 0.042 0.055 0.063 0.07 0.074 0.092 0.101 0.113 0.118 0.136 0.15 0.173 0.199 0.222 0.25 0.24 0.22 0.183 0.065 0.042 0.01 0.02 0.032
0.018 0.028 0.03 0.044 0.052 0.063 0.073 0.08 0.076 0.09 0.111 0.119 0.136 0.152 0.176 0.186 0.208 0.265 0.261 0.226 0.24 0.002 0.159 0 0.027 0.02
0.02 0.028 0.036 0.044 0.052 0.06 0.068 0.079 0.086 0.093 0.11 0.12 0.128 0.149 0.162 0.193 0.198 0.225 0.259 0.235 0.087 0.19 0.141 0.055 0.005 0.166
